fShareTweetShareSave
Sagaing Region Postal Codes / Zip codes, Myanmar
စစ်ကိုင်းတိုင်း ဒေသကြီး စာပို့ သင်္ကေတ အမှတ် အများ
Shwebo in Sagaing Region was the birthplace of the Konbaung Dynasty of the Myanmar Empire. Sagaing also is a regional trade hub, for Myanmar exports to China and Inda, as well as imports from these countries pass through this state.

Township 	Postal Code	မြို့နယ်	Town
Tamu 	- 	 	Thanan 
Taze 	- 	 	Mukangyi 
Taze 	- 	 	Kanhtooma 
Taze 	- 	 	Nabatgyi 
Taze 	- 	 	Ywashaemyauk 
Tigyaing 	- 	 	Kanni 
Tigyaing 	- 	 	Nyaungbintha 
Tigyaing 	- 	 	Myataung 
Tigyaing 	- 	 	Ahlaeltaw 
Wetlet 	02282	 	Hlataw 
Wetlet 	- 	 	Paukkan 
Wetlet 	- 	 	Shainmakar 
Wetlet 	- 	 	Shwepankone 
Wuntho 	02172	 	Nankhan 
Wuntho 	02173	 	Joehtaung 
Wuntho 	- 	 	Kin 
Ye U 	- 	 	Nyaunghla 
Yinmabin 	- 	 	Kapaing 
Yinmabin 	- 	 	Phowintaung 
Yinmabin 	- 	 	Yinpaungtaing
